Family_AC,Family_ID,Description
RF03439,mir-1791,mir-1791 microRNA precursor family
RF03440,MIR4414,MIR4414 microRNA precursor family
RF03441,mir-613,mir-613 microRNA precursor family
RF03442,mir-4003,mir-4003 microRNA precursor family
RF03443,mir-2131,mir-2131 microRNA precursor family
RF03444,MIR5635,MIR5635 microRNA precursor family
RF03445,mir-7552,mir-7552 microRNA precursor family
RF03446,mir-2954,mir-2954 microRNA precursor family
RF03447,mir-1231,mir-1231 microRNA precursor family
RF03448,mir-6131,mir-6131 microRNA precursor family
RF03449,mir-6827,mir-6827 microRNA precursor family
RF03450,MIR1513,MIR1513 microRNA precursor family
RF03451,mir-3188,mir-3188 microRNA precursor family
RF03452,mir-3121,mir-3121 microRNA precursor family
RF03453,mir-1276,mir-1276 microRNA precursor family
RF03454,mir-1267,mir-1267 microRNA precursor family
RF03455,mir-9847,mir-9847 microRNA precursor family
RF03456,mir-724,mir-724 microRNA precursor family
RF03457,MIR173,MIR173 microRNA precursor family
RF03458,mir-766,mir-766 microRNA precursor family
RF03459,mir-1890,mir-1890 microRNA precursor family
RF03460,mir-561,mir-561 microRNA precursor family
RF03461,MIR842,MIR842 microRNA precursor family
RF03462,mir-4677,mir-4677 microRNA precursor family
RF03463,mir-3036,mir-3036 microRNA precursor family
RF03464,mir-465,mir-465 microRNA precursor family
RF03465,MIR9666,MIR9666 microRNA precursor family
RF03466,mir-1184,mir-1184 microRNA precursor family
RF03467,mir-2851,mir-2851 microRNA precursor family
RF03468,mir-2830,mir-2830 microRNA precursor family
RF03469,mir-1179,mir-1179 microRNA precursor family
RF03470,mir-571,mir-571 microRNA precursor family
RF03471,mir-745,mir-745 microRNA precursor family
RF03472,mir-623,mir-623 microRNA precursor family
RF03473,mir-8813,mir-8813 microRNA precursor family
RF03474,mir-4766,mir-4766 microRNA precursor family
RF03475,mir-2387,mir-2387 microRNA precursor family
RF03476,mir-7360,mir-7360 microRNA precursor family
RF03477,MIR862_2,MIR862_2 microRNA precursor family
RF03478,mir-630,mir-630 microRNA precursor family
RF03479,mir-324,mir-324 microRNA precursor family
RF03480,mir-1284,mir-1284 microRNA precursor family
RF03481,mir-9014,mir-9014 microRNA precursor family
RF03482,mir-4774,mir-4774 microRNA precursor family
RF03483,MIR319,MIR319 microRNA precursor family
RF03484,mir-K12-10,mir-K12-10 microRNA precursor family
RF03485,mir-4000,mir-4000 microRNA precursor family
RF03486,mir-3940,mir-3940 microRNA precursor family
RF03487,mir-4423,mir-4423 microRNA precursor family
RF03488,mir-2366,mir-2366 microRNA precursor family
RF03489,mir-4796,mir-4796 microRNA precursor family
RF03490,mir-1426,mir-1426 microRNA precursor family
RF03491,mir-3146,mir-3146 microRNA precursor family
RF03492,mir-878,mir-878 microRNA precursor family
RF03493,mir-1281,mir-1281 microRNA precursor family
RF03494,mir-4680,mir-4680 microRNA precursor family
RF03495,mir-968,mir-968 microRNA precursor family
RF03496,MIR2086,MIR2086 microRNA precursor family
RF03497,MIR5038,MIR5038 microRNA precursor family
RF03498,mir-3145,mir-3145 microRNA precursor family
RF03499,mir-702,mir-702 microRNA precursor family
RF03500,mir-1262,mir-1262 microRNA precursor family
RF03501,mir-3140,mir-3140 microRNA precursor family
RF03502,mir-1914,mir-1914 microRNA precursor family
RF03503,mir-547,mir-547 microRNA precursor family
RF03504,mir-9461,mir-9461 microRNA precursor family
RF03505,mir-9128,mir-9128 microRNA precursor family
RF03506,mir-587,mir-587 microRNA precursor family
RF03507,mir-4429,mir-4429 microRNA precursor family
RF03508,mir-970,mir-970 microRNA precursor family
RF03509,mir-4660,mir-4660 microRNA precursor family
RF03510,mir-3660,mir-3660 microRNA precursor family
RF03511,mir-5444,mir-5444 microRNA precursor family
RF03512,mir-3479,mir-3479 microRNA precursor family
RF03514,mir-6128,mir-6128 microRNA precursor family
RF03516,MIR5229,MIR5229 microRNA precursor family
RF03517,MIR5225,MIR5225 microRNA precursor family
RF03518,mir-1893,mir-1893 microRNA precursor family
RF03519,mir-238,mir-238 microRNA precursor family
RF03520,mir-3059,mir-3059 microRNA precursor family
RF03521,mir-23c,mir-23c microRNA precursor family
RF03522,mir-4850,mir-4850 microRNA precursor family
RF03523,mir-4703,mir-4703 microRNA precursor family
RF03524,mir-3174,mir-3174 microRNA precursor family
RF03525,mir-1343,mir-1343 microRNA precursor family
RF03526,mir-7177,mir-7177 microRNA precursor family
RF03527,mir-3072,mir-3072 microRNA precursor family
RF03528,mir-1264,mir-1264 microRNA precursor family
RF03530,bglG-cis-reg,cis-regulatory element of the bglG/LicT operon
RF03531,n00280,Clostridioides difficile sRNA included into helicase gene
RF03532,SQ2397,Cis-regulator of HTH transcription factor
RF03533,SQ1002_RNA,Clostridioides difficile sRNA SQ1002
RF03534,sRNA71,Staphylococcus sRNA71 small RNA
RF03535,TEG147,Staphylococcus aureus small RNA TEG147
RF03536,Flavi_TBFV_xrRNA,Tick-borne Flavivirus exoribonuclease-resistant RNA element
RF03537,Flavi_TBFV_SL6,Tick-borne Flavivirus short stem-loop SL6
RF03538,Flavi_TBFV_CRE,Tick-borne Flavivirus 3' UTR cis-acting replication element (CRE)
RF03539,Flavi_NKV_xrRNA,No-known vector Flavivirus exoribonuclease-resistant RNA element
RF03540,Flavi_NKV_CRE,No-Known-Vector Flavivirus 3' UTR cis-acting replication element (CRE)
RF03541,Flavi_ISFV_xrRNA,Insect-specific Flavivirus exoribonuclease-resistant RNA element
RF03542,Flavi_ISFV_repeat_Ra_Rb,Insect-Specific Flavivirus 3' UTR repeats Ra and Rb elements
RF03543,Flavi_ISFV_repeat_Rb,Insect-Specific Flavivirus 3' UTR repeats Rb
RF03544,Flavi_ISFV_repeat_Ra,Insect-Specific Flavivirus 3' UTR repeats Ra
RF03545,Flavi_ISFV_CRE,Insect-specific Flavivirus 3' UTR cis-acting replication element (CRE)
RF03546,Flavivirus-5UTR,Flavivirus 5' UTR
RF03547,Flavi_xrRNA,General Flavivirus exoribonuclease-resistant RNA element
RF03548,mir-302_2,mir-302_2 microRNA precursor family
RF03549,mir-15_2,mir-15_2 microRNA precursor family
RF03550,mir-31_2,mir-31_2 microRNA precursor family
RF03552,mir-43_2,mir-43_2 microRNA precursor family
RF03553,mir-190_2,mir-190_2 microRNA precursor family
RF03554,mir-92_2,mir-92_2 microRNA precursor family
RF03555,mir-2_2,mir-2_2 microRNA precursor family
RF03556,mir-559,mir-559 microRNA precursor family
RF03557,MIR6019,MIR6019 microRNA precursor family
RF03558,mir-629,mir-629 microRNA precursor family
RF03559,mir-8303,mir-8303 microRNA precursor family
RF03560,mir-3926,mir-3926 microRNA precursor family
RF03561,mir-3533,mir-3533 microRNA precursor family
RF03562,mir-2004,mir-2004 microRNA precursor family
RF03563,mir-BART16,mir-BART16 microRNA precursor family
RF03564,mir-9416,mir-9416 microRNA precursor family
RF03565,mir-1282,mir-1282 microRNA precursor family
RF03566,mir-4875,mir-4875 microRNA precursor family
RF03567,MIR8024,MIR8024 microRNA precursor family
RF03568,mir-3204,mir-3204 microRNA precursor family
RF03569,mir-7973,mir-7973 microRNA precursor family
RF03570,mir-8286,mir-8286 microRNA precursor family
RF03571,mir-734,mir-734 microRNA precursor family
RF03572,MIR2109,MIR2109 microRNA precursor family
RF03573,mir-1954,mir-1954 microRNA precursor family
RF03574,mir-4847,mir-4847 microRNA precursor family
RF03575,mir-rL1-14,mir-rL1-14 microRNA precursor family
RF03576,mir-4435,mir-4435 microRNA precursor family
RF03577,mir-9193,mir-9193 microRNA precursor family
RF03578,mir-3910,mir-3910 microRNA precursor family
RF03579,mir-2058,mir-2058 microRNA precursor family
RF03580,mir-928,mir-928 microRNA precursor family
RF03581,mir-4878,mir-4878 microRNA precursor family
RF03582,mir-m22-1,mir-m22-1 microRNA precursor family
RF03583,MIR781,MIR781 microRNA precursor family
RF03584,mir-2290,mir-2290 microRNA precursor family
RF03585,mir-3938,mir-3938 microRNA precursor family
RF03586,mir-5132,mir-5132 microRNA precursor family
RF03587,mir-1202,mir-1202 microRNA precursor family
RF03588,mir-2319,mir-2319 microRNA precursor family
RF03589,mir-5583,mir-5583 microRNA precursor family
RF03590,mir-2009,mir-2009 microRNA precursor family
RF03591,mir-3117,mir-3117 microRNA precursor family
RF03592,mir-2567,mir-2567 microRNA precursor family
RF03593,mir-2331,mir-2331 microRNA precursor family
RF03594,mir-3817,mir-3817 microRNA precursor family
RF03595,mir-3569,mir-3569 microRNA precursor family
RF03596,mir-5880,mir-5880 microRNA precursor family
RF03597,MIR6438,MIR6438 microRNA precursor family
RF03598,MIR6024,MIR6024 microRNA precursor family
RF03599,MIR1883,MIR1883 microRNA precursor family
RF03600,MIR3627,MIR3627 microRNA precursor family
RF03601,MIR7993,MIR7993 microRNA precursor family
RF03602,mir-8250,mir-8250 microRNA precursor family
RF03603,mir-4899,mir-4899 microRNA precursor family
RF03604,mir-5728,mir-5728 microRNA precursor family
RF03605,MIR4221,MIR4221 microRNA precursor family
RF03606,mir-2071,mir-2071 microRNA precursor family
RF03607,mir-9447,mir-9447 microRNA precursor family
RF03608,mir-9440,mir-9440 microRNA precursor family
RF03609,mir-5470,mir-5470 microRNA precursor family
RF03610,mir-H7,mir-H7 microRNA precursor family
RF03611,mir-7147,mir-7147 microRNA precursor family
RF03612,mir-608,mir-608 microRNA precursor family
RF03613,MIR6234,MIR6234 microRNA precursor family
RF03614,mir-3431,mir-3431 microRNA precursor family
RF03615,mir-4877,mir-4877 microRNA precursor family
RF03616,MIR1888,MIR1888 microRNA precursor family
RF03617,MIR8757,MIR8757 microRNA precursor family
RF03618,mir-5592,mir-5592 microRNA precursor family
RF03619,mir-5729,mir-5729 microRNA precursor family
RF03620,mir-1233,mir-1233 microRNA precursor family
RF03621,MIR4245,MIR4245 microRNA precursor family
RF03622,mir-731,mir-731 microRNA precursor family
RF03623,mir-1252,mir-1252 microRNA precursor family
RF03624,mir-5345,mir-5345 microRNA precursor family
RF03625,MIR6152,MIR6152 microRNA precursor family
RF03626,mir-9791,mir-9791 microRNA precursor family
RF03627,mir-9168,mir-9168 microRNA precursor family
RF03628,mir-2355,mir-2355 microRNA precursor family
RF03629,mir-641,mir-641 microRNA precursor family
RF03630,mir-2818,mir-2818 microRNA precursor family
RF03631,MIR3440,MIR3440 microRNA precursor family
RF03632,MIR1882,MIR1882 microRNA precursor family
RF03633,mir-5882,mir-5882 microRNA precursor family
RF03634,mir-3524,mir-3524 microRNA precursor family
RF03635,mir-2066,mir-2066 microRNA precursor family
RF03636,MIR4376,MIR4376 microRNA precursor family
RF03637,mir-5879,mir-5879 microRNA precursor family
RF03638,mir-1537,mir-1537 microRNA precursor family
RF03639,mir-619,mir-619 microRNA precursor family
RF03640,mir-3747,mir-3747 microRNA precursor family
RF03641,mir-991,mir-991 microRNA precursor family
RF03642,MIR5743,MIR5743 microRNA precursor family
RF03643,mir-2056,mir-2056 microRNA precursor family
RF03644,mir-2064,mir-2064 microRNA precursor family
RF03645,mir-9080,mir-9080 microRNA precursor family
RF03646,MIR9776,MIR9776 microRNA precursor family
RF03647,mir-7640,mir-7640 microRNA precursor family
RF03648,mir-9413,mir-9413 microRNA precursor family
RF03649,MIR5643,MIR5643 microRNA precursor family
RF03650,mir-1290,mir-1290 microRNA precursor family
RF03651,mir-2070,mir-2070 microRNA precursor family
RF03652,mir-2329,mir-2329 microRNA precursor family
RF03653,mir-971,mir-971 microRNA precursor family
RF03654,MIR4239,MIR4239 microRNA precursor family
RF03655,MIR1887,MIR1887 microRNA precursor family
RF03656,mir-2432,mir-2432 microRNA precursor family
RF03657,MIR6145,MIR6145 microRNA precursor family
RF03658,mir-2300,mir-2300 microRNA precursor family
RF03659,MIR2871,MIR2871 microRNA precursor family
RF03660,mir-4018,mir-4018 microRNA precursor family
RF03661,mir-933,mir-933 microRNA precursor family
RF03662,mir-2060,mir-2060 microRNA precursor family
RF03663,mir-5911,mir-5911 microRNA precursor family
RF03664,MIR6288,MIR6288 microRNA precursor family
RF03665,MIR4359,MIR4359 microRNA precursor family
RF03666,MIR7724,MIR7724 microRNA precursor family
RF03667,MIR1031,MIR1031 microRNA precursor family
RF03668,mir-1788,mir-1788 microRNA precursor family
RF03669,mir-2767,mir-2767 microRNA precursor family
RF03670,MIR3932,MIR3932 microRNA precursor family
RF03671,MIR3522,MIR3522 microRNA precursor family
RF03672,MIR840,MIR840 microRNA precursor family
RF03673,mir-2822,mir-2822 microRNA precursor family
RF03674,MIR5387,MIR5387 microRNA precursor family
RF03675,mir-1001,mir-1001 microRNA precursor family
RF03676,MIR5148,MIR5148 microRNA precursor family
RF03677,mir-1304,mir-1304 microRNA precursor family
RF03678,mir-3956,mir-3956 microRNA precursor family
RF03679,MIR2084,MIR2084 microRNA precursor family
RF03680,mir-9465,mir-9465 microRNA precursor family
RF03681,mir-1295,mir-1295 microRNA precursor family
RF03682,mir-3912,mir-3912 microRNA precursor family
RF03683,mir-462,mir-462 microRNA precursor family
RF03684,mir-1990,mir-1990 microRNA precursor family
RF03685,MIR9677,MIR9677 microRNA precursor family
RF03686,mir-9424,mir-9424 microRNA precursor family
RF03687,mir-2011,mir-2011 microRNA precursor family
RF03688,mir-3045,mir-3045 microRNA precursor family
RF03689,mir-5892,mir-5892 microRNA precursor family
RF03690,mir-9058,mir-9058 microRNA precursor family
RF03691,mir-2765,mir-2765 microRNA precursor family
RF03692,MIR827,MIR827 microRNA precursor family
RF03693,MIR1919,MIR1919 microRNA precursor family
RF03694,mir-266,mir-266 microRNA precursor family
RF03695,MIR6151,MIR6151 microRNA precursor family
RF03696,mir-4904,mir-4904 microRNA precursor family
RF03697,mir-722,mir-722 microRNA precursor family
RF03698,mir-2861,mir-2861 microRNA precursor family
RF03699,mir-729,mir-729 microRNA precursor family
RF03700,mir-1923,mir-1923 microRNA precursor family
RF03701,mir-4041,mir-4041 microRNA precursor family
RF03702,MIR851,MIR851 microRNA precursor family
RF03703,mir-3622,mir-3622 microRNA precursor family
RF03704,MIR4380,MIR4380 microRNA precursor family
RF03705,mir-1278,mir-1278 microRNA precursor family
RF03706,mir-2253,mir-2253 microRNA precursor family
RF03707,mir-1892,mir-1892 microRNA precursor family
RF03709,MIR1878,MIR1878 microRNA precursor family
RF03710,mir-1451,mir-1451 microRNA precursor family
RF03711,mir-784,mir-784 microRNA precursor family
RF03712,MIR6450,MIR6450 microRNA precursor family
RF03713,mir-1756,mir-1756 microRNA precursor family
RF03714,MIR774,MIR774 microRNA precursor family
RF03715,mir-977,mir-977 microRNA precursor family
RF03716,mir-7131,mir-7131 microRNA precursor family
RF03717,mir-3119,mir-3119 microRNA precursor family
RF03718,mir-2804,mir-2804 microRNA precursor family
RF03719,mir-3914,mir-3914 microRNA precursor family
RF03720,MIR4228,MIR4228 microRNA precursor family
RF03721,mir-3478,mir-3478 microRNA precursor family
RF03722,MIR4378,MIR4378 microRNA precursor family
RF03723,MIR7125,MIR7125 microRNA precursor family
RF03724,mir-1013,mir-1013 microRNA precursor family
RF03725,mir-7094,mir-7094 microRNA precursor family
RF03726,mir-m21-1,mir-m21-1 microRNA precursor family
RF03727,mir-3477,mir-3477 microRNA precursor family
RF03728,MIR1511,MIR1511 microRNA precursor family
RF03729,mir-2363,mir-2363 microRNA precursor family
RF03730,mir-7615,mir-7615 microRNA precursor family
RF03731,mir-7371,mir-7371 microRNA precursor family
RF03732,mir-2057,mir-2057 microRNA precursor family
RF03733,mir-BART14,mir-BART14 microRNA precursor family
RF03734,mir-4773,mir-4773 microRNA precursor family
RF03735,mir-1502,mir-1502 microRNA precursor family
RF03736,mir-3130,mir-3130 microRNA precursor family
RF03737,mir-8315,mir-8315 microRNA precursor family
RF03738,mir-2320,mir-2320 microRNA precursor family
RF03739,mir-4529,mir-4529 microRNA precursor family
RF03740,mir-921,mir-921 microRNA precursor family
RF03741,mir-325,mir-325 microRNA precursor family
RF03742,mir-2162,mir-2162 microRNA precursor family
RF03743,MIR7696,MIR7696 microRNA precursor family
RF03744,MIR3704,MIR3704 microRNA precursor family
RF03745,mir-2063,mir-2063 microRNA precursor family
RF03746,mir-2318,mir-2318 microRNA precursor family
RF03747,mir-4536,mir-4536 microRNA precursor family
RF03748,mir-2772,mir-2772 microRNA precursor family
RF03749,MIR2617,MIR2617 microRNA precursor family
RF03750,mir-2489,mir-2489 microRNA precursor family
RF03751,mir-7445,mir-7445 microRNA precursor family
RF03752,MIR5292,MIR5292 microRNA precursor family
RF03753,mir-1986,mir-1986 microRNA precursor family
RF03754,mir-3116,mir-3116 microRNA precursor family
RF03755,mir-4005,mir-4005 microRNA precursor family
RF03756,mir-4891,mir-4891 microRNA precursor family
RF03757,mir-6536,mir-6536 microRNA precursor family
RF03758,mir-2756,mir-2756 microRNA precursor family
RF03759,MIR8703,MIR8703 microRNA precursor family
RF03760,mir-2041,mir-2041 microRNA precursor family
RF03761,mir-5897,mir-5897 microRNA precursor family
RF03762,MIR859,MIR859 microRNA precursor family
RF03763,mir-2568,mir-2568 microRNA precursor family
RF03764,mir-647,mir-647 microRNA precursor family
RF03765,mir-2059,mir-2059 microRNA precursor family
RF03766,mir-3155,mir-3155 microRNA precursor family
RF03767,mir-3432,mir-3432 microRNA precursor family
RF03768,mir-1329,mir-1329 microRNA precursor family
RF03769,mir-3913,mir-3913 microRNA precursor family
RF03770,mir-125,mir-125 microRNA precursor family
RF03771,mir-341,mir-341 microRNA precursor family
RF03772,mir-4867,mir-4867 microRNA precursor family
RF03773,mir-978,mir-978 microRNA precursor family
RF03774,mir-2110,mir-2110 microRNA precursor family
RF03775,mir-7578,mir-7578 microRNA precursor family
RF03776,mir-2068,mir-2068 microRNA precursor family
RF03777,MIR533,MIR533 microRNA precursor family
RF03778,mir-483,mir-483 microRNA precursor family
RF03779,mir-1805,mir-1805 microRNA precursor family
RF03780,mir-3389,mir-3389 microRNA precursor family
RF03781,mir-4524,mir-4524 microRNA precursor family
RF03782,mir-3661,mir-3661 microRNA precursor family
RF03783,mir-4854,mir-4854 microRNA precursor family
RF03784,mir-2240,mir-2240 microRNA precursor family
RF03785,mir-974,mir-974 microRNA precursor family
RF03786,mir-9449,mir-9449 microRNA precursor family
RF03787,mir-2010,mir-2010 microRNA precursor family
RF03788,MIR5304,MIR5304 microRNA precursor family
RF03789,MIR5269,MIR5269 microRNA precursor family
RF03790,MIR8008,MIR8008 microRNA precursor family
RF03791,mir-4526,mir-4526 microRNA precursor family
RF03792,MIR6462,MIR6462 microRNA precursor family
RF03793,MIR810,MIR810 microRNA precursor family
RF03794,MIR5298,MIR5298 microRNA precursor family
RF03795,MIR6201,MIR6201 microRNA precursor family
RF03796,mir-5984,mir-5984 microRNA precursor family
RF03797,mir-9235,mir-9235 microRNA precursor family
RF03798,MIR4227,MIR4227 microRNA precursor family
RF03799,mir-3202,mir-3202 microRNA precursor family
RF03800,mir-4477,mir-4477 microRNA precursor family
RF03801,mir-7143,mir-7143 microRNA precursor family
RF03802,MIR5649,MIR5649 microRNA precursor family
RF03803,MIR1886,MIR1886 microRNA precursor family
RF03804,mir-4989,mir-4989 microRNA precursor family
RF03805,bpcv-mir-B1,bpcv-mir-B1 microRNA precursor family
RF03806,mir-2007,mir-2007 microRNA precursor family
RF03807,mir-4890,mir-4890 microRNA precursor family
RF03808,mir-3957,mir-3957 microRNA precursor family
RF03809,mir-1203,mir-1203 microRNA precursor family
RF03810,mir-8932,mir-8932 microRNA precursor family
RF03811,mir-1896,mir-1896 microRNA precursor family
RF03812,mir-BART19,mir-BART19 microRNA precursor family
RF03813,MIR8041,MIR8041 microRNA precursor family
RF03814,mir-2797,mir-2797 microRNA precursor family
RF03815,mir-3051,mir-3051 microRNA precursor family
RF03816,MIR6297,MIR6297 microRNA precursor family
RF03817,mir-3836,mir-3836 microRNA precursor family
RF03818,MIR7994,MIR7994 microRNA precursor family
RF03819,mir-Ro6-3,mir-Ro6-3 microRNA precursor family
RF03820,mir-5429,mir-5429 microRNA precursor family
RF03821,mir-2002,mir-2002 microRNA precursor family
RF03822,mir-3931,mir-3931 microRNA precursor family
RF03823,mir-1814,mir-1814 microRNA precursor family
RF03824,MIR5285,MIR5285 microRNA precursor family
RF03825,mir-2335,mir-2335 microRNA precursor family
RF03826,MIR825,MIR825 microRNA precursor family
RF03827,mir-2229,mir-2229 microRNA precursor family
RF03828,MIR831,MIR831 microRNA precursor family
RF03829,mir-1257,mir-1257 microRNA precursor family
RF03830,mir-1003,mir-1003 microRNA precursor family
RF03831,mir-627,mir-627 microRNA precursor family
RF03832,mir-H4,mir-H4 microRNA precursor family
RF03833,mir-5928,mir-5928 microRNA precursor family
RF03834,mir-3173,mir-3173 microRNA precursor family
RF03835,mir-955,mir-955 microRNA precursor family
RF03836,mir-3547,mir-3547 microRNA precursor family
RF03837,mir-3138,mir-3138 microRNA precursor family
RF03838,MIR8032,MIR8032 microRNA precursor family
RF03839,MIR2599,MIR2599 microRNA precursor family
RF03840,mir-3064,mir-3064 microRNA precursor family
RF03841,mir-8941,mir-8941 microRNA precursor family
RF03842,MIR2680,MIR2680 microRNA precursor family
RF03843,MIR2600,MIR2600 microRNA precursor family
RF03844,mir-3190,mir-3190 microRNA precursor family
RF03845,mir-3327,mir-3327 microRNA precursor family
RF03846,mir-4861,mir-4861 microRNA precursor family
RF03847,mir-1538,mir-1538 microRNA precursor family
RF03848,mir-1549,mir-1549 microRNA precursor family
RF03849,MIR1219,MIR1219 microRNA precursor family
RF03850,mir-961,mir-961 microRNA precursor family
RF03851,mir-1002,mir-1002 microRNA precursor family
RF03852,mir-610,mir-610 microRNA precursor family
RF03853,mir-2013,mir-2013 microRNA precursor family
RF03854,mir-1949,mir-1949 microRNA precursor family
RF03855,MIR5241,MIR5241 microRNA precursor family
RF03856,mir-1188,mir-1188 microRNA precursor family
RF03857,mir-3129,mir-3129 microRNA precursor family
RF03858,mir-1991,mir-1991 microRNA precursor family
RF03859,mir-6132,mir-6132 microRNA precursor family
RF03860,MIR1520,MIR1520 microRNA precursor family
RF03861,mir-4484,mir-4484 microRNA precursor family
RF03862,MIR5274,MIR5274 microRNA precursor family
RF03863,mir-1258,mir-1258 microRNA precursor family
RF03864,mir-BART9,mir-BART9 microRNA precursor family
RF03865,mir-7637,mir-7637 microRNA precursor family
RF03866,mir-1889,mir-1889 microRNA precursor family
RF03867,mir-4081,mir-4081 microRNA precursor family
RF03868,mir-H2,mir-H2 microRNA precursor family
RF03869,mir-2834,mir-2834 microRNA precursor family
RF03870,mir-2040,mir-2040 microRNA precursor family
RF03871,mir-5681,mir-5681 microRNA precursor family
RF03872,MIR6426,MIR6426 microRNA precursor family
RF03873,mir-3192,mir-3192 microRNA precursor family
RF03874,mir-8834,mir-8834 microRNA precursor family
RF03875,MIR5272,MIR5272 microRNA precursor family
RF03876,mir-7132,mir-7132 microRNA precursor family
RF03877,mir-3937,mir-3937 microRNA precursor family
RF03878,mir-B6,mir-B6 microRNA precursor family
RF03879,mir-2831,mir-2831 microRNA precursor family
RF03880,mir-1684,mir-1684 microRNA precursor family
RF03881,mir-59,mir-59 microRNA precursor family
RF03882,mir-4889,mir-4889 microRNA precursor family
RF03883,mir-9256,mir-9256 microRNA precursor family
RF03884,mir-725,mir-725 microRNA precursor family
RF03885,mir-4178,mir-4178 microRNA precursor family
RF03886,mir-1993,mir-1993 microRNA precursor family
RF03887,mir-2511,mir-2511 microRNA precursor family
RF03888,mir-3160,mir-3160 microRNA precursor family
RF03889,mir-4776,mir-4776 microRNA precursor family
RF03890,mir-B8,mir-B8 microRNA precursor family
RF03891,mir-2545,mir-2545 microRNA precursor family
RF03892,mir-4860,mir-4860 microRNA precursor family
RF03893,mir-4879,mir-4879 microRNA precursor family
RF03894,mir-5736,mir-5736 microRNA precursor family
RF03895,MIR2679,MIR2679 microRNA precursor family
RF03896,MIR2275,MIR2275 microRNA precursor family
RF03897,mir-4077,mir-4077 microRNA precursor family
RF03898,mir-7616,mir-7616 microRNA precursor family
RF03899,mir-5912,mir-5912 microRNA precursor family
RF03900,mir-9242,mir-9242 microRNA precursor family
RF03901,mir-BART18,mir-BART18 microRNA precursor family
RF03902,MIR7784,MIR7784 microRNA precursor family
RF03903,mir-679,mir-679 microRNA precursor family
RF03904,MIR7991,MIR7991 microRNA precursor family
RF03905,MIR6149,MIR6149 microRNA precursor family
RF03906,mir-3199,mir-3199 microRNA precursor family
RF03907,mir-4428,mir-4428 microRNA precursor family
RF03908,MIR6459,MIR6459 microRNA precursor family
RF03909,mir-3804,mir-3804 microRNA precursor family
RF03910,mir-H5,mir-H5 microRNA precursor family
RF03911,mir-1910,mir-1910 microRNA precursor family
RF03912,mir-4659,mir-4659 microRNA precursor family
RF03913,mir-992,mir-992 microRNA precursor family
RF03914,mir-BART21,mir-BART21 microRNA precursor family
RF03915,MIR5286,MIR5286 microRNA precursor family
RF03916,MIR400,MIR400 microRNA precursor family
RF03917,mir-4449,mir-4449 microRNA precursor family
RF03918,mir-4922,mir-4922 microRNA precursor family
RF03919,mir-1540,mir-1540 microRNA precursor family
RF03920,mir-237,mir-237 microRNA precursor family
RF03921,MIR860,MIR860 microRNA precursor family
RF03922,MIR2119,MIR2119 microRNA precursor family
RF03923,mir-964,mir-964 microRNA precursor family
RF03924,mir-1228,mir-1228 microRNA precursor family
RF03925,mir-1011,mir-1011 microRNA precursor family
RF03926,MIR1435,MIR1435 microRNA precursor family
RF03927,MIR538,MIR538 microRNA precursor family
RF03929,mir-6579,mir-6579 microRNA precursor family
RF03930,mir-1909,mir-1909 microRNA precursor family
RF03931,mir-2061,mir-2061 microRNA precursor family
RF03932,mir-1597,mir-1597 microRNA precursor family
RF03933,MIR6445,MIR6445 microRNA precursor family
RF03934,mir-m107-1,mir-m107-1 microRNA precursor family
RF03935,mir-763,mir-763 microRNA precursor family
RF03936,mir-4079,mir-4079 microRNA precursor family
RF03937,mir-9456,mir-9456 microRNA precursor family
RF03938,mir-4662,mir-4662 microRNA precursor family
RF03939,mir-4868,mir-4868 microRNA precursor family
RF03940,MIR9563,MIR9563 microRNA precursor family
RF03941,mir-3158,mir-3158 microRNA precursor family
RF03942,mir-5727,mir-5727 microRNA precursor family
RF03943,mir-1824,mir-1824 microRNA precursor family
RF03944,mir-935,mir-935 microRNA precursor family
RF03945,mir-4876,mir-4876 microRNA precursor family
RF03946,mir-3132,mir-3132 microRNA precursor family
RF03947,mir-658,mir-658 microRNA precursor family
RF03948,mir-5045,mir-5045 microRNA precursor family
RF03949,mir-8830,mir-8830 microRNA precursor family
RF03950,mir-4928,mir-4928 microRNA precursor family
RF03951,MIR7725,MIR7725 microRNA precursor family
RF03952,mir-3718,mir-3718 microRNA precursor family
RF03953,mir-5350,mir-5350 microRNA precursor family
RF03954,mir-8993,mir-8993 microRNA precursor family
RF03955,MIR2934,MIR2934 microRNA precursor family
RF03956,mir-737,mir-737 microRNA precursor family
RF03957,mir-5856,mir-5856 microRNA precursor family
RF03958,mir-959,mir-959 microRNA precursor family
RF03959,mir-303,mir-303 microRNA precursor family
RF03960,mir-6644,mir-6644 microRNA precursor family
RF03961,mir-9033,mir-9033 microRNA precursor family
RF03962,mir-958,mir-958 microRNA precursor family
RF03963,mir-2996,mir-2996 microRNA precursor family
RF03964,mir-H1,mir-H1 microRNA precursor family
RF03965,mir-8927,mir-8927 microRNA precursor family
RF03966,mir-76,mir-76 microRNA precursor family
RF03967,mir-1270,mir-1270 microRNA precursor family
RF03968,mir-8934,mir-8934 microRNA precursor family
RF03969,mir-622,mir-622 microRNA precursor family
RF03970,mir-2766,mir-2766 microRNA precursor family
RF03971,mir-3572,mir-3572 microRNA precursor family
RF03972,mir-3150,mir-3150 microRNA precursor family
RF03973,mir-5615,mir-5615 microRNA precursor family
RF03974,MIR838,MIR838 microRNA precursor family
